Agent,ELO,Wins,Losses,Draws,Win%
NEAT-_gen02,NEAT-_gen15_extended_20250510-091729,10,15,0
NEAT-_gen02,NEAT-_gen24_extended_20250510-091729,12,13,0
NEAT-_gen02,AlphaGo-64_g10_e3_20250325-192621,14,11,0
NEAT-_gen02,AlphaGo-128_g1000_e10_20250509-072804,13,12,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192146,15,10,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192808,12,13,0
NEAT-_gen02,AlphaGo-64_g100_e5_20250509-080406,12,13,0
NEAT-_gen02,AlphaGo-64_g10_e3_20250325-192146,16,9,0
NEAT-_gen02,AlphaGo-64_g10_e3_20250325-192808,11,14,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192621,17,8,0
NEAT-_gen02,AlphaGo-256_g2000_e20_20250509-080407,17,8,0
NEAT-_gen02,AlphaGo-64_g100_e5_20250509-072802,11,14,0
NEAT-_gen02,AlphaGo-128_g20_e6_20250325-192621_extended_20250510-091729,9,16,0
NEAT-_gen02,AlphaGo-64_g100_e5_20250509-072802_extended_20250510-091729,9,16,0
NEAT-_gen03,NEAT-_gen09,15,10,0
NEAT-_gen03,NEAT-_gen25,17,8,0
NEAT-_gen03,NEAT-_gen04,12,13,0
NEAT-_gen03,NEAT-_gen12,13,12,0
NEAT-_gen03,NEAT-_gen15,16,9,0
NEAT-_gen03,NEAT-_gen21,13,12,0
NEAT-_gen03,NEAT-_gen11,13,12,0
NEAT-_gen03,NEAT-_gen07,18,7,0
NEAT-_gen03,NEAT-_gen22,12,13,0
NEAT-_gen03,NEAT-_gen23,10,15,0
NEAT-_gen03,NEAT-_gen05,13,12,0
NEAT-_gen03,NEAT-_gen06,16,9,0
NEAT-_gen03,NEAT-_gen28,10,15,0
NEAT-_gen03,NEAT-_gen30,11,14,0
NEAT-_gen03,NEAT-_gen13,14,11,0
NEAT-_gen03,NEAT-_gen19,14,11,0
NEAT-_gen03,NEAT-_gen26,12,13,0
NEAT-_gen03,NEAT-_gen27,11,14,0
NEAT-_gen03,NEAT-_gen29,9,16,0
NEAT-_gen03,NEAT-_gen17,10,15,0
NEAT-_gen03,NEAT-_gen20,13,12,0
NEAT-_gen03,NEAT-_gen01_extended_20250510-091729,16,9,0
NEAT-_gen03,NEAT-_gen03_extended_20250510-091729,14,11,0
NEAT-_gen03,NEAT-_gen09_extended_20250510-091729,12,13,0
NEAT-_gen03,NEAT-_gen15_extended_20250510-091729,11,14,0
NEAT-_gen03,NEAT-_gen24_extended_20250510-091729,17,8,0
NEAT-_gen03,AlphaGo-64_g10_e3_20250325-192621,11,14,0
